,team_name,W,L,ppg,ppg_a,ppg_diff,pass_yds,pass_tds,rush_yds,rush_tds,off_tds,pass_ypg,rush_ypg,win_pct,ypg,state,team_level,conference
96,California,6,7,30.2,32.8,-2.6,,22,,26,48,218.2,172.8,0.46,390.9,,College,Pac-12
97,Fresno St.,9,4,30.5,23.5,7.0,,29,,16,45,282.2,105.5,0.69,387.8,,College,Mountain West
98,Maryland,8,5,29.7,22.5,7.2,,27,,20,47,278.9,108.4,0.62,387.3,,College,Big Ten
99,Texas Tech,7,6,27.4,26.0,1.4,,24,,17,41,224.0,162.7,0.54,386.7,,College,Big 12
100,Tulsa,4,8,23.4,33.8,-10.4,,20,,13,33,204.7,180.8,0.33,385.4,,College,AAC
101,Louisiana Tech,3,9,25.9,33.4,-7.5,,16,,20,36,260.9,123.8,0.25,384.7,,College,CUSA
102,Michigan,15,0,35.9,10.4,25.5,,24,,40,64,213.7,169.1,1.0,382.7,,College,Big Ten
103,Boston College,7,6,24.8,28.3,-3.5,,15,,25,40,182.5,198.8,0.54,381.2,,College,ACC
104,Wisconsin,7,6,23.5,20.2,3.3,,14,,22,36,220.2,161.0,0.54,381.2,,College,Big Ten
105,Purdue,4,8,23.9,29.9,-6.0,,15,,20,35,211.2,169.1,0.33,380.2,,College,Big Ten
106,Baylor,3,9,23.1,33.3,-10.2,,15,,13,28,263.0,114.8,0.25,377.8,,College,Big 12
107,Arkansas St.,6,7,27.1,30.4,-3.3,,17,,20,37,226.0,147.6,0.46,373.6,,College,Sun Belt
108,Temple,3,9,21.1,35.7,-14.6,,23,,9,32,276.7,95.7,0.25,372.3,,College,AAC
109,Tulane,11,3,26.4,20.5,5.9,,25,,16,41,215.0,155.1,0.79,370.1,,College,AAC
110,NIU,7,6,24.9,21.0,3.9,,15,,23,38,189.8,179.6,0.54,369.4,,College,MAC
111,Virginia,3,9,23.2,33.8,-10.6,,19,,12,31,250.8,117.9,0.25,368.8,,College,ACC
112,Air Force,9,4,27.8,18.2,9.6,,7,,36,43,85.0,281.5,0.69,366.5,,College,Mountain West
113,Western Mich.,4,8,23.7,31.8,-8.1,,13,,21,34,211.2,153.8,0.33,365.0,,College,MAC
114,Iowa St.,7,6,26.2,22.8,3.4,,23,,16,39,245.0,119.9,0.54,364.9,,College,Big 12
115,Colorado,4,8,28.2,34.8,-6.6,,29,,12,41,294.7,68.9,0.33,363.6,,College,Pac-12
116,South Carolina,5,7,26.0,26.3,-0.3,,21,,17,38,278.0,85.1,0.42,363.1,,College,SEC
117,Rice,6,7,29.5,28.1,1.4,,29,,21,50,252.5,110.5,0.46,362.9,,College,AAC
118,UTEP,3,9,19.9,28.5,-8.6,,13,,16,29,217.7,144.3,0.25,362.0,,College,CUSA
119,Houston,4,8,23.7,31.5,-7.8,,24,,10,34,241.5,118.7,0.33,360.2,,College,Big 12
120,Marshall,6,7,22.8,28.7,-5.9,,12,,21,33,226.2,132.3,0.46,358.5,,College,Sun Belt
121,Massachusetts,3,9,23.2,37.8,-14.6,,14,,19,33,214.1,142.2,0.25,356.2,,College,FBS Independent
122,Southern Miss.,3,9,23.2,35.8,-12.6,,15,,16,31,190.7,162.8,0.25,353.4,,College,Sun Belt
123,Hawaii,5,8,21.4,32.2,-10.8,,27,,6,33,276.4,76.1,0.38,352.5,,College,Mountain West
124,Stanford,3,9,20.6,37.2,-16.6,,11,,15,26,233.0,118.6,0.25,351.6,,College,Pac-12
125,Auburn,6,7,26.2,22.6,3.6,,18,,22,40,162.2,189.0,0.46,351.2,,College,SEC
126,NC State,9,4,26.1,20.8,5.3,,19,,19,38,193.9,156.5,0.69,350.4,,College,ACC
127,Utah,8,5,23.2,19.3,3.9,,15,,19,34,165.8,182.5,0.62,348.4,,College,Pac-12
128,Old Dominion,6,7,23.8,27.2,-3.4,,20,,15,35,194.8,153.4,0.46,348.2,,College,Sun Belt
129,Duke,8,5,26.9,19.0,7.9,,14,,26,40,180.8,167.2,0.62,348.1,,College,ACC
130,Ohio,10,3,24.3,15.8,8.5,,16,,18,34,203.6,144.4,0.77,348.0,,College,MAC
131,Central Mich.,5,7,23.2,31.1,-7.9,,15,,21,36,184.7,159.4,0.42,344.1,,College,MAC
132,Syracuse,6,7,23.5,25.4,-1.9,,17,,20,37,171.0,172.3,0.46,343.3,,College,ACC
133,Kentucky,7,6,29.1,25.8,3.3,,25,,18,43,211.6,127.8,0.54,339.5,,College,SEC
134,Indiana,3,9,22.2,29.9,-7.7,,18,,13,31,212.8,120.1,0.25,332.8,,College,Big Ten
135,Fla. Atlantic,4,8,23.8,25.5,-1.7,,19,,16,35,215.5,115.2,0.33,330.8,,College,AAC
136,Mississippi St.,5,7,21.8,26.6,-4.8,,15,,12,27,181.8,146.8,0.42,328.6,,College,SEC
137,Wake Forest,4,8,20.2,27.0,-6.8,,14,,13,27,197.3,130.4,0.33,327.8,,College,ACC
138,Wyoming,9,4,25.3,22.3,3.0,,20,,19,39,168.5,158.5,0.69,327.0,,College,Mountain West
139,UConn,3,9,19.1,29.8,-10.7,,12,,15,27,190.3,136.6,0.25,326.9,,College,FBS Independent
140,Arkansas,4,8,26.6,27.9,-1.3,,22,,9,31,187.5,139.0,0.33,326.5,,College,SEC
141,San Diego St.,4,8,20.5,26.8,-6.3,,10,,16,26,171.8,154.2,0.33,326.0,,College,Mountain West
142,Bowling Green,7,6,26.2,24.0,2.2,,17,,22,39,188.4,137.5,0.54,325.9,,College,MAC
143,Miami,11,3,25.6,15.9,9.7,,16,,23,39,165.4,158.1,0.79,323.5,,College,MAC
144,Arizona St.,3,9,17.8,31.8,-14.0,,8,,17,25,210.3,111.9,0.25,322.2,,College,Pac-12
145,ULM,2,10,17.3,34.9,-17.6,,15,,7,22,174.8,146.1,0.17,320.9,,College,Sun Belt
146,FIU,4,8,20.1,31.8,-11.7,,12,,17,29,229.3,90.2,0.33,319.6,,College,CUSA
147,Vanderbilt,2,10,22.8,36.2,-13.4,,23,,10,33,223.7,95.2,0.17,318.9,,College,SEC
148,Buffalo,3,9,20.9,27.4,-6.5,,14,,15,29,185.2,133.6,0.25,318.8,,College,MAC
149,Pittsburgh,3,9,20.2,27.3,-7.1,,17,,10,27,216.0,101.9,0.25,317.9,,College,ACC
150,Charlotte,3,9,17.5,28.6,-11.1,,7,,16,23,167.8,145.0,0.25,312.8,,College,AAC
151,Nebraska,5,7,18.0,18.2,-0.2,,10,,16,26,135.9,176.8,0.42,312.8,,College,Big Ten
152,Army West Point,6,6,20.5,21.1,-0.6,,7,,19,26,102.8,208.0,0.5,310.8,,College,FBS Independent
153,BYU,5,7,23.1,29.8,-6.7,,17,,15,32,205.4,104.3,0.42,309.8,,College,Big 12
154,Ball St.,4,8,18.2,24.4,-6.2,,9,,15,24,136.6,171.5,0.33,308.1,,College,MAC
155,Rutgers,7,6,23.2,21.2,2.0,,10,,24,34,137.5,168.7,0.54,306.2,,College,Big Ten
156,Northwestern,8,5,22.1,22.5,-0.4,,20,,14,34,202.0,101.9,0.62,303.9,,College,Big Ten
157,Minnesota,6,7,20.9,26.7,-5.8,,16,,13,29,143.4,157.5,0.46,300.9,,College,Big Ten
158,Navy,5,7,17.7,22.4,-4.7,,10,,16,26,105.7,194.6,0.42,300.2,,College,AAC
159,Nevada,2,10,17.3,33.4,-16.1,,6,,14,20,175.2,124.8,0.17,300.0,,College,Mountain West
160,Michigan St.,4,8,15.9,28.3,-12.4,,14,,7,21,199.8,89.5,0.33,289.3,,College,Big Ten
161,Akron,2,10,16.2,28.0,-11.8,,10,,12,22,197.6,81.0,0.17,278.6,,College,MAC
162,East Carolina,2,10,17.3,22.4,-5.1,,7,,12,19,163.9,113.3,0.17,277.2,,College,AAC
163,Kent St.,1,11,14.7,34.6,-19.9,,11,,8,19,164.5,105.9,0.08,270.4,,College,MAC
164,Eastern Mich.,6,7,19.5,26.7,-7.2,,10,,18,28,152.0,110.8,0.46,262.8,,College,MAC
165,Iowa,10,4,15.4,14.8,0.6,,9,,11,20,118.6,115.9,0.71,234.6,,College,Big Ten
